Date,AAPL,AMZN,FB,GOOG,MSFT
2001-01-31 00:00:00,10.76,17.309999999999999,,,23.350000000000001
2001-02-01 00:00:00,10.51,16.25,,,23.850000000000001
2001-02-02 00:00:00,10.27,14.380000000000001,,,23.25
2001-02-05 00:00:00,10.050000000000001,14.44,,,23.68
2001-02-06 00:00:00,10.51,15.81,,,23.920000000000002
2001-02-07 00:00:00,10.33,15.0,,,24.739999999999998
2001-02-08 00:00:00,10.33,14.380000000000001,,,23.800000000000001
2001-02-09 00:00:00,9.5199999999999996,13.380000000000001,,,22.609999999999999
2001-02-12 00:00:00,9.8000000000000007,14.5,,,22.460000000000001
2001-02-13 00:00:00,9.5199999999999996,13.75,,,22.25
2001-02-14 00:00:00,9.7100000000000009,14.44,,,22.32
2001-02-15 00:00:00,9.9900000000000002,14.5,,,22.489999999999998
2001-02-16 00:00:00,9.4600000000000009,13.69,,,21.91
2001-02-20 00:00:00,9.1199999999999992,12.5,,,21.370000000000001
2001-02-21 00:00:00,9.3900000000000006,11.94,,,21.510000000000002
2001-02-22 00:00:00,9.3599999999999994,11.94,,,21.100000000000001
2001-02-23 00:00:00,9.3599999999999994,11.81,,,21.699999999999999
2001-02-26 00:00:00,9.7100000000000009,11.94,,,22.77
2001-02-27 00:00:00,9.6400000000000006,11.75,,,22.710000000000001
2001-02-28 00:00:00,9.0899999999999999,10.19,,,22.559999999999999
2001-03-01 00:00:00,9.3300000000000001,10.44,,,22.699999999999999
2001-03-02 00:00:00,9.5800000000000001,10.0,,,21.68
2001-03-05 00:00:00,10.140000000000001,12.619999999999999,,,21.960000000000001
2001-03-06 00:00:00,10.699999999999999,11.880000000000001,,,22.73
2001-03-07 00:00:00,10.58,12.25,,,23.210000000000001
2001-03-08 00:00:00,10.359999999999999,11.69,,,22.66
2001-03-09 00:00:00,10.08,12.25,,,21.68
2001-03-12 00:00:00,9.2699999999999996,10.619999999999999,,,19.859999999999999
2001-03-13 00:00:00,9.7400000000000002,11.0,,,20.719999999999999
2001-03-14 00:00:00,10.18,10.619999999999999,,,20.649999999999999
2001-03-15 00:00:00,9.8000000000000007,10.880000000000001,,,20.530000000000001
2001-03-16 00:00:00,9.7699999999999996,11.0,,,20.859999999999999
2001-03-19 00:00:00,10.24,10.5,,,20.77
2001-03-20 00:00:00,9.8000000000000007,10.25,,,20.149999999999999
2001-03-21 00:00:00,10.02,10.0,,,19.140000000000001
2001-03-22 00:00:00,10.76,10.19,,,20.649999999999999
2001-03-23 00:00:00,11.449999999999999,10.19,,,21.629999999999999
2001-03-26 00:00:00,10.84,10.94,,,21.440000000000001
2001-03-27 00:00:00,11.390000000000001,11.640000000000001,,,22.27
2001-03-28 00:00:00,11.039999999999999,10.800000000000001,,,21.25
2001-03-29 00:00:00,11.220000000000001,10.0,,,21.18
2001-03-30 00:00:00,10.99,10.23,,,20.91
2001-04-02 00:00:00,10.75,9.0999999999999996,,,21.34
2001-04-03 00:00:00,10.08,8.6300000000000008,,,20.41
2001-04-04 00:00:00,9.7100000000000009,8.4000000000000004,,,19.859999999999999
2001-04-05 00:00:00,10.390000000000001,9.1199999999999992,,,21.699999999999999
2001-04-06 00:00:00,10.25,8.3699999999999992,,,21.489999999999998
2001-04-09 00:00:00,10.23,11.18,,,21.850000000000001
2001-04-10 00:00:00,10.970000000000001,12.01,,,22.82
2001-04-11 00:00:00,10.85,13.32,,,22.960000000000001
2001-04-12 00:00:00,11.16,14.67,,,23.780000000000001
2001-04-16 00:00:00,10.67,14.029999999999999,,,23.239999999999998
2001-04-17 00:00:00,10.16,14.74,,,23.510000000000002
2001-04-18 00:00:00,11.35,16.539999999999999,,,25.02
2001-04-19 00:00:00,12.81,15.99,,,26.02
2001-04-20 00:00:00,12.470000000000001,15.779999999999999,,,26.379999999999999
2001-04-23 00:00:00,12.07,16.199999999999999,,,26.100000000000001
2001-04-24 00:00:00,11.960000000000001,15.68,,,25.829999999999998
2001-04-25 00:00:00,12.31,16.09,,,26.649999999999999
2001-04-26 00:00:00,12.289999999999999,15.43,,,26.43
2001-04-27 00:00:00,13.039999999999999,15.27,,,25.670000000000002
2001-04-30 00:00:00,12.69,15.779999999999999,,,25.91
2001-05-01 00:00:00,12.91,16.890000000000001,,,26.829999999999998
2001-05-02 00:00:00,13.24,17.109999999999999,,,26.670000000000002
2001-05-03 00:00:00,12.43,16.75,,,26.199999999999999
2001-05-04 00:00:00,12.82,17.559999999999999,,,27.050000000000001
2001-05-07 00:00:00,12.43,16.920000000000002,,,27.289999999999999
2001-05-08 00:00:00,12.23,16.18,,,27.550000000000001
2001-05-09 00:00:00,11.94,15.01,,,26.920000000000002
2001-05-10 00:00:00,11.449999999999999,14.619999999999999,,,26.77
2001-05-11 00:00:00,11.380000000000001,14.68,,,26.539999999999999
2001-05-14 00:00:00,11.6,13.33,,,26.280000000000001
2001-05-15 00:00:00,11.539999999999999,13.539999999999999,,,26.109999999999999
2001-05-16 00:00:00,12.0,14.130000000000001,,,26.449999999999999
2001-05-17 00:00:00,11.720000000000001,14.779999999999999,,,26.07
2001-05-18 00:00:00,11.710000000000001,14.720000000000001,,,26.039999999999999
2001-05-21 00:00:00,11.73,16.379999999999999,,,26.300000000000001
2001-05-22 00:00:00,11.699999999999999,16.25,,,26.890000000000001
2001-05-23 00:00:00,11.57,15.6,,,26.649999999999999
2001-05-24 00:00:00,11.550000000000001,16.75,,,27.420000000000002
2001-05-25 00:00:00,11.33,17.09,,,27.109999999999999
2001-05-29 00:00:00,10.69,17.219999999999999,,,26.899999999999999
