"Bachmann, Michele",GOP
"Cain, Herman",GOP
"Gingrich, Newt",GOP
"Huntsman, Jon",GOP
"Johnson, Gary Earl",LIB
"McCotter, Thaddeus G",GOP
"Obama, Barack",DEM
"Paul, Ron",GOP
"Pawlenty, Timothy",GOP
"Perry, Rick",GOP
"Roemer, Charles E. 'Buddy' III",IND
"Romney, Mitt",GOP
"Santorum, Rick",GOP
"Stein, Jill",GRN
